task_id,machine_id,operator_id,task_type,weather,operator_skill,machine_age_years,estimated_time_min,actual_time_min,planned_start,actual_start,working_condition
TSK-1059,CAT-994K-301,OP-104,OVERBURDEN_REMOVAL,FOG,NOVICE,4.0,88.1,132.7,2026-09-21T06:20:00Z,2026-09-21T06:21:00Z,STEEP_INCLINE
TSK-1060,CAT-6060-201,OP-103,STOCKPILE_FEEDING,CLEAR,EXPERT,2.1,83.6,96.2,2026-09-21T06:36:00Z,2026-09-21T06:41:00Z,SEVERE
TSK-1061,CAT-6060-201,OP-103,RAMP_MAINTENANCE,RAIN,EXPERT,2.1,62.8,85.6,2026-09-21T07:08:00Z,2026-09-21T07:09:00Z,MUDDY
TSK-1062,CAT-797F-102,OP-102,STOCKPILE_FEEDING,HIGH_WIND,INTERMEDIATE,5.8,87.4,125.1,2026-09-21T07:34:00Z,2026-09-21T07:38:00Z,MUDDY
TSK-1063,CAT-6060-201,OP-103,STOCKPILE_FEEDING,FOG,EXPERT,2.1,61.3,65.2,2026-09-21T07:59:00Z,2026-09-21T08:03:00Z,NORMAL
TSK-1064,CAT-6060-201,OP-103,STOCKPILE_FEEDING,MUDDY_GROUND,EXPERT,2.1,87.3,124.2,2026-09-21T08:17:00Z,2026-09-21T08:22:00Z,MUDDY
TSK-1065,CAT-797F-101,OP-101,BENCH_CLEANUP,FOG,EXPERT,3.2,63.5,79.8,2026-09-21T08:43:00Z,2026-09-21T08:48:00Z,STEEP_INCLINE
TSK-1066,CAT-6060-201,OP-103,ORE_HAULING,DUSTY,EXPERT,2.1,41.7,42.8,2026-09-21T09:12:00Z,2026-09-21T09:16:00Z,MODERATE
TSK-1067,CAT-797F-101,OP-101,STOCKPILE_FEEDING,MUDDY_GROUND,EXPERT,3.2,53.6,72.3,2026-09-21T09:37:00Z,2026-09-21T09:40:00Z,STEEP_INCLINE
TSK-1068,CAT-797F-102,OP-102,ORE_HAULING,HIGH_WIND,INTERMEDIATE,5.8,102.5,121.8,2026-09-21T09:56:00Z,2026-09-21T10:02:00Z,NORMAL
TSK-1069,CAT-994K-301,OP-104,ORE_HAULING,DUSTY,NOVICE,4.0,72.5,101.0,2026-09-21T10:21:00Z,2026-09-21T10:24:00Z,STEEP_INCLINE
TSK-1070,CAT-797F-102,OP-102,STOCKPILE_FEEDING,HIGH_WIND,INTERMEDIATE,5.8,109.2,143.3,2026-09-21T10:52:00Z,2026-09-21T10:56:00Z,STEEP_INCLINE
TSK-1071,CAT-D11-401,OP-105,STOCKPILE_FEEDING,FOG,INTERMEDIATE,6.5,102.8,153.4,2026-09-21T11:17:00Z,2026-09-21T11:20:00Z,MUDDY
TSK-1072,CAT-6060-201,OP-103,ORE_HAULING,HIGH_WIND,EXPERT,2.1,93.6,112.6,2026-09-21T11:45:00Z,2026-09-21T11:46:00Z,SEVERE
TSK-1073,CAT-6060-201,OP-103,STOCKPILE_FEEDING,CLEAR,EXPERT,2.1,56.4,63.8,2026-09-21T12:08:00Z,2026-09-21T12:08:00Z,SEVERE
TSK-1074,CAT-797F-102,OP-102,ORE_HAULING,DUSTY,INTERMEDIATE,5.8,88.6,123.1,2026-09-21T12:26:00Z,2026-09-21T12:29:00Z,MUDDY
TSK-1075,CAT-994K-301,OP-104,BENCH_CLEANUP,FOG,NOVICE,4.0,69.1,108.0,2026-09-21T12:56:00Z,2026-09-21T12:59:00Z,MUDDY
TSK-1076,CAT-D11-401,OP-105,OVERBURDEN_REMOVAL,FOG,INTERMEDIATE,6.5,73.4,110.4,2026-09-21T13:19:00Z,2026-09-21T13:25:00Z,MUDDY
TSK-1077,CAT-994K-301,OP-104,STOCKPILE_FEEDING,FOG,NOVICE,4.0,96.0,144.4,2026-09-21T13:47:00Z,2026-09-21T13:48:00Z,STEEP_INCLINE
TSK-1078,CAT-6060-201,OP-103,STOCKPILE_FEEDING,MUDDY_GROUND,EXPERT,2.1,67.2,80.1,2026-09-21T14:11:00Z,2026-09-21T14:16:00Z,NORMAL
TSK-1079,CAT-797F-102,OP-102,STOCKPILE_FEEDING,DUSTY,INTERMEDIATE,5.8,77.4,100.7,2026-09-21T14:39:00Z,2026-09-21T14:43:00Z,STEEP_INCLINE
TSK-1080,CAT-797F-101,OP-101,OVERBURDEN_REMOVAL,HIGH_WIND,EXPERT,3.2,49.5,63.1,2026-09-21T14:55:00Z,2026-09-21T14:57:00Z,MUDDY
TSK-1081,CAT-994K-301,OP-104,BENCH_CLEANUP,DUSTY,NOVICE,4.0,62.9,94.7,2026-09-21T15:26:00Z,2026-09-21T15:28:00Z,MUDDY
TSK-1082,CAT-994K-301,OP-104,BENCH_CLEANUP,CLEAR,NOVICE,4.0,41.4,60.5,2026-09-21T15:50:00Z,2026-09-21T15:51:00Z,MUDDY
TSK-1083,CAT-797F-101,OP-101,OVERBURDEN_REMOVAL,CLEAR,EXPERT,3.2,54.0,54.0,2026-09-21T16:12:00Z,2026-09-21T16:13:00Z,MODERATE
TSK-1084,CAT-797F-102,OP-102,STOCKPILE_FEEDING,HIGH_WIND,INTERMEDIATE,5.8,79.5,91.4,2026-09-21T16:39:00Z,2026-09-21T16:45:00Z,NORMAL
TSK-1085,CAT-6060-201,OP-103,ORE_HAULING,FOG,EXPERT,2.1,107.5,132.7,2026-09-21T17:02:00Z,2026-09-21T17:04:00Z,STEEP_INCLINE
TSK-1086,CAT-797F-101,OP-101,RAMP_MAINTENANCE,CLEAR,EXPERT,3.2,80.3,95.0,2026-09-21T17:31:00Z,2026-09-21T17:34:00Z,SEVERE
TSK-1087,CAT-797F-102,OP-102,OVERBURDEN_REMOVAL,FOG,INTERMEDIATE,5.8,47.1,60.9,2026-09-21T18:00:00Z,2026-09-21T18:04:00Z,MODERATE
TSK-1088,CAT-797F-101,OP-101,RAMP_MAINTENANCE,CLEAR,EXPERT,3.2,77.3,90.3,2026-09-21T18:16:00Z,2026-09-21T18:20:00Z,SEVERE
TSK-1089,CAT-6060-201,OP-103,OVERBURDEN_REMOVAL,MUDDY_GROUND,EXPERT,2.1,47.4,68.7,2026-09-21T18:50:00Z,2026-09-21T18:56:00Z,MUDDY
TSK-1090,CAT-994K-301,OP-104,ORE_HAULING,MUDDY_GROUND,NOVICE,4.0,91.4,138.7,2026-09-21T19:09:00Z,2026-09-21T19:13:00Z,MODERATE
TSK-1091,CAT-D11-401,OP-105,STOCKPILE_FEEDING,MUDDY_GROUND,INTERMEDIATE,6.5,97.8,154.8,2026-09-21T19:35:00Z,2026-09-21T19:41:00Z,MUDDY
TSK-1092,CAT-797F-102,OP-102,OVERBURDEN_REMOVAL,RAIN,INTERMEDIATE,5.8,57.1,85.4,2026-09-21T20:04:00Z,2026-09-21T20:09:00Z,MUDDY
TSK-1093,CAT-994K-301,OP-104,BENCH_CLEANUP,CLEAR,NOVICE,4.0,99.6,143.5,2026-09-21T20:23:00Z,2026-09-21T20:25:00Z,MUDDY
TSK-1094,CAT-6060-201,OP-103,BENCH_CLEANUP,RAIN,EXPERT,2.1,89.1,110.3,2026-09-21T20:45:00Z,2026-09-21T20:49:00Z,STEEP_INCLINE
TSK-1095,CAT-797F-102,OP-102,OVERBURDEN_REMOVAL,DUSTY,INTERMEDIATE,5.8,74.2,103.3,2026-09-21T21:17:00Z,2026-09-21T21:22:00Z,MUDDY
TSK-1096,CAT-994K-301,OP-104,STOCKPILE_FEEDING,CLEAR,NOVICE,4.0,60.6,73.6,2026-09-21T21:38:00Z,2026-09-21T21:40:00Z,NORMAL
TSK-1097,CAT-D11-401,OP-105,BENCH_CLEANUP,MUDDY_GROUND,INTERMEDIATE,6.5,77.2,113.7,2026-09-21T22:08:00Z,2026-09-21T22:10:00Z,STEEP_INCLINE
TSK-1098,CAT-6060-201,OP-103,STOCKPILE_FEEDING,RAIN,EXPERT,2.1,57.6,73.1,2026-09-21T22:28:00Z,2026-09-21T22:30:00Z,SEVERE
TSK-1099,CAT-797F-101,OP-101,RAMP_MAINTENANCE,HIGH_WIND,EXPERT,3.2,53.4,58.9,2026-09-21T22:54:00Z,2026-09-21T22:59:00Z,MODERATE
TSK-1100,CAT-D11-401,OP-105,RAMP_MAINTENANCE,FOG,INTERMEDIATE,6.5,108.6,156.1,2026-09-21T23:19:00Z,2026-09-21T23:20:00Z,SEVERE
TSK-1101,CAT-6060-201,OP-103,ORE_HAULING,RAIN,EXPERT,2.1,89.6,97.6,2026-09-21T23:40:00Z,2026-09-21T23:40:00Z,NORMAL
TSK-1102,CAT-D11-401,OP-105,BENCH_CLEANUP,HIGH_WIND,INTERMEDIATE,6.5,84.7,105.3,2026-09-22T00:06:00Z,2026-09-22T00:12:00Z,MODERATE
TSK-1103,CAT-797F-101,OP-101,RAMP_MAINTENANCE,RAIN,EXPERT,3.2,73.5,99.8,2026-09-22T00:30:00Z,2026-09-22T00:32:00Z,MUDDY
TSK-1104,CAT-994K-301,OP-104,OVERBURDEN_REMOVAL,CLEAR,NOVICE,4.0,74.4,109.0,2026-09-22T01:05:00Z,2026-09-22T01:05:00Z,MUDDY
TSK-1105,CAT-797F-102,OP-102,ORE_HAULING,FOG,INTERMEDIATE,5.8,46.0,64.0,2026-09-22T01:28:00Z,2026-09-22T01:34:00Z,SEVERE
TSK-1106,CAT-994K-301,OP-104,RAMP_MAINTENANCE,FOG,NOVICE,4.0,55.8,82.7,2026-09-22T01:52:00Z,2026-09-22T01:55:00Z,STEEP_INCLINE
TSK-1107,CAT-6060-201,OP-103,RAMP_MAINTENANCE,MUDDY_GROUND,EXPERT,2.1,79.8,106.5,2026-09-22T02:11:00Z,2026-09-22T02:17:00Z,SEVERE
TSK-1108,CAT-797F-102,OP-102,ORE_HAULING,RAIN,INTERMEDIATE,5.8,51.0,63.1,2026-09-22T02:36:00Z,2026-09-22T02:37:00Z,NORMAL
TSK-1109,CAT-797F-101,OP-101,STOCKPILE_FEEDING,MUDDY_GROUND,EXPERT,3.2,72.9,95.5,2026-09-22T03:04:00Z,2026-09-22T03:09:00Z,STEEP_INCLINE
TSK-1110,CAT-6060-201,OP-103,STOCKPILE_FEEDING,CLEAR,EXPERT,2.1,104.7,107.7,2026-09-22T03:35:00Z,2026-09-22T03:39:00Z,MODERATE
TSK-1111,CAT-797F-102,OP-102,STOCKPILE_FEEDING,CLEAR,INTERMEDIATE,5.8,55.7,68.3,2026-09-22T03:54:00Z,2026-09-22T04:00:00Z,STEEP_INCLINE
TSK-1112,CAT-797F-102,OP-102,OVERBURDEN_REMOVAL,CLEAR,INTERMEDIATE,5.8,95.5,111.0,2026-09-22T04:24:00Z,2026-09-22T04:26:00Z,MODERATE
TSK-1113,CAT-994K-301,OP-104,OVERBURDEN_REMOVAL,MUDDY_GROUND,NOVICE,4.0,89.0,146.5,2026-09-22T04:48:00Z,2026-09-22T04:52:00Z,SEVERE
TSK-1114,CAT-994K-301,OP-104,STOCKPILE_FEEDING,CLEAR,NOVICE,4.0,42.8,58.0,2026-09-22T05:10:00Z,2026-09-22T05:14:00Z,STEEP_INCLINE
TSK-1115,CAT-6060-201,OP-103,OVERBURDEN_REMOVAL,CLEAR,EXPERT,2.1,107.3,110.7,2026-09-22T05:39:00Z,2026-09-22T05:43:00Z,MODERATE
TSK-1116,CAT-797F-101,OP-101,BENCH_CLEANUP,FOG,EXPERT,3.2,93.4,100.7,2026-09-22T06:03:00Z,2026-09-22T06:08:00Z,NORMAL
TSK-1117,CAT-994K-301,OP-104,BENCH_CLEANUP,DUSTY,NOVICE,4.0,70.5,99.3,2026-09-22T06:21:00Z,2026-09-22T06:24:00Z,STEEP_INCLINE
TSK-1118,CAT-6060-201,OP-103,STOCKPILE_FEEDING,RAIN,EXPERT,2.1,86.9,114.1,2026-09-22T06:50:00Z,2026-09-22T06:53:00Z,SEVERE
TSK-1119,CAT-994K-301,OP-104,BENCH_CLEANUP,HIGH_WIND,NOVICE,4.0,96.9,147.6,2026-09-22T07:17:00Z,2026-09-22T07:17:00Z,MUDDY
TSK-1120,CAT-6060-201,OP-103,BENCH_CLEANUP,RAIN,EXPERT,2.1,107.9,119.3,2026-09-22T07:43:00Z,2026-09-22T07:49:00Z,NORMAL
TSK-1121,CAT-797F-101,OP-101,RAMP_MAINTENANCE,MUDDY_GROUND,EXPERT,3.2,43.8,63.0,2026-09-22T08:09:00Z,2026-09-22T08:15:00Z,MUDDY
TSK-1122,CAT-994K-301,OP-104,STOCKPILE_FEEDING,CLEAR,NOVICE,4.0,58.7,73.2,2026-09-22T08:29:00Z,2026-09-22T08:32:00Z,MODERATE
TSK-1123,CAT-994K-301,OP-104,OVERBURDEN_REMOVAL,CLEAR,NOVICE,4.0,96.0,131.8,2026-09-22T08:54:00Z,2026-09-22T08:58:00Z,STEEP_INCLINE
TSK-1124,CAT-797F-101,OP-101,RAMP_MAINTENANCE,MUDDY_GROUND,EXPERT,3.2,55.7,67.9,2026-09-22T09:16:00Z,2026-09-22T09:19:00Z,NORMAL
TSK-1125,CAT-797F-101,OP-101,ORE_HAULING,MUDDY_GROUND,EXPERT,3.2,75.6,103.1,2026-09-22T09:47:00Z,2026-09-22T09:50:00Z,SEVERE
TSK-1126,CAT-797F-102,OP-102,STOCKPILE_FEEDING,FOG,INTERMEDIATE,5.8,66.9,87.1,2026-09-22T10:13:00Z,2026-09-22T10:18:00Z,MODERATE
TSK-1127,CAT-797F-102,OP-102,OVERBURDEN_REMOVAL,RAIN,INTERMEDIATE,5.8,63.8,96.6,2026-09-22T10:34:00Z,2026-09-22T10:40:00Z,MUDDY
TSK-1128,CAT-797F-101,OP-101,BENCH_CLEANUP,HIGH_WIND,EXPERT,3.2,98.6,120.6,2026-09-22T11:05:00Z,2026-09-22T11:08:00Z,SEVERE
TSK-1129,CAT-797F-102,OP-102,STOCKPILE_FEEDING,FOG,INTERMEDIATE,5.8,64.2,94.4,2026-09-22T11:28:00Z,2026-09-22T11:31:00Z,MUDDY
TSK-1130,CAT-994K-301,OP-104,BENCH_CLEANUP,DUSTY,NOVICE,4.0,80.0,102.7,2026-09-22T11:51:00Z,2026-09-22T11:51:00Z,MODERATE
TSK-1131,CAT-6060-201,OP-103,STOCKPILE_FEEDING,HIGH_WIND,EXPERT,2.1,67.0,85.2,2026-09-22T12:20:00Z,2026-09-22T12:21:00Z,MUDDY
TSK-1132,CAT-994K-301,OP-104,OVERBURDEN_REMOVAL,DUSTY,NOVICE,4.0,107.6,148.5,2026-09-22T12:36:00Z,2026-09-22T12:42:00Z,STEEP_INCLINE
TSK-1133,CAT-994K-301,OP-104,OVERBURDEN_REMOVAL,FOG,NOVICE,4.0,41.1,64.1,2026-09-22T13:10:00Z,2026-09-22T13:11:00Z,MUDDY
TSK-1134,CAT-797F-101,OP-101,STOCKPILE_FEEDING,RAIN,EXPERT,3.2,83.6,108.8,2026-09-22T13:26:00Z,2026-09-22T13:32:00Z,SEVERE
TSK-1135,CAT-6060-201,OP-103,RAMP_MAINTENANCE,MUDDY_GROUND,EXPERT,2.1,83.9,116.2,2026-09-22T13:57:00Z,2026-09-22T14:03:00Z,SEVERE
TSK-1136,CAT-D11-401,OP-105,OVERBURDEN_REMOVAL,FOG,INTERMEDIATE,6.5,56.4,70.4,2026-09-22T14:19:00Z,2026-09-22T14:20:00Z,NORMAL
TSK-1137,CAT-797F-101,OP-101,STOCKPILE_FEEDING,CLEAR,EXPERT,3.2,71.1,70.4,2026-09-22T14:40:00Z,2026-09-22T14:40:00Z,NORMAL
TSK-1138,CAT-6060-201,OP-103,OVERBURDEN_REMOVAL,RAIN,EXPERT,2.1,66.2,84.1,2026-09-22T15:13:00Z,2026-09-22T15:16:00Z,SEVERE
TSK-1139,CAT-D11-401,OP-105,ORE_HAULING,DUSTY,INTERMEDIATE,6.5,45.5,55.5,2026-09-22T15:39:00Z,2026-09-22T15:44:00Z,MODERATE
TSK-1140,CAT-797F-102,OP-102,STOCKPILE_FEEDING,FOG,INTERMEDIATE,5.8,56.3,72.4,2026-09-22T16:02:00Z,2026-09-22T16:04:00Z,MODERATE
TSK-1141,CAT-797F-101,OP-101,STOCKPILE_FEEDING,RAIN,EXPERT,3.2,51.1,64.6,2026-09-22T16:25:00Z,2026-09-22T16:29:00Z,STEEP_INCLINE
TSK-1142,CAT-6060-201,OP-103,STOCKPILE_FEEDING,HIGH_WIND,EXPERT,2.1,72.0,85.7,2026-09-22T16:51:00Z,2026-09-22T16:57:00Z,SEVERE
